Country,Area,Temples,Temples,Temples,Temples,Mis­sions,Dis­tricts,Stakes,Con­gre­ga­tions,Con­gre­ga­tions,Con­gre­ga­tions,FHC
Country,Area,O,U,A,T,Mis­sions,Dis­tricts,Stakes,Wards,Bran­ches,Total,FHC
Kuwait,ME/AN,0,0,0,0,0,0,0,1,0,1,0
Laos,Asia,0,0,0,0,0,0,0,0,2,2,0
Latvia,Europe North,0,0,0,0,1,1,0,0,5,5,3
Lebanon,ME/AN,0,0,0,0,0,0,0,0,1,1,1
Lesotho,Africa South,0,0,0,0,0,1,0,0,6,6,1
Liberia,Africa West,0,0,1,1,1,1,6,42,25,67,10
Lithuania,Europe North,0,0,0,0,0,1,0,0,5,5,4
Luxembourg,Europe Central,0,0,0,0,0,0,0,1,1,2,1
Macau,Asia,0,0,0,0,0,0,0,0,2,2,1
North Macedonia,Europe Central,0,0,0,0,0,0,0,0,1,1,0
Madagascar,Africa South,0,0,1,1,1,2,3,22,21,43,10
Malawi,Africa South,0,0,0,0,0,2,0,0,12,12,0
Malaysia,Asia,0,0,0,0,0,5,0,0,27,27,8
Mali,Africa West,0,0,0,0,0,0,0,0,1,1,0
Malta,Europe Central,0,0,0,0,0,0,0,0,1,1,1
Marshall Islands,Pacific,0,0,0,0,1,0,2,12,1,13,3
Martinique,Caribbean,0,0,0,0,0,0,0,0,1,1,1
Mauritius,Africa South,0,0,0,0,0,1,0,0,3,3,0
Mexico,Mexico,13,3,7,23,32,47,227,"1,369",494,"1,863",383
Moldova,Unassigned**,0,0,0,0,0,0,0,0,2,2,1
Mongolia,Asia North,0,0,0,0,1,1,2,12,12,24,9
Montenegro,Europe Central,0,0,0,0,0,0,0,0,1,1,1
Morocco,ME/AN,0,0,0,0,0,0,0,0,1,1,1
Mozambique,Africa South,0,0,1,1,2,1,5,32,24,56,8
Myanmar,Asia,0,0,0,0,0,0,0,0,2,2,0
Namibia,Africa South,0,0,0,0,0,1,0,0,5,5,1
Nauru,Pacific,0,0,0,0,0,0,0,0,1,1,0
Nepal,Asia,0,0,0,0,0,0,0,0,1,1,0
Netherlands,Europe Central,1,0,0,1,1,0,3,20,4,24,9
New Caledonia,Pacific,0,0,0,0,0,0,1,6,3,9,3
New Zealand,Pacific,1,1,1,3,3,2,30,177,51,228,55
Nicaragua,Central America,0,1,0,1,2,4,12,71,38,109,35
Nigeria,Africa West,1,0,3,4,7,15,68,505,264,769,96
Niue,Pacific,0,0,0,0,0,0,0,0,2,2,1
Northern Mariana Islands,Asia North,0,0,0,0,0,0,0,1,0,1,1
Norway,Europe North,0,0,1,1,1,0,2,11,8,19,15
Oman,ME/AN,0,0,0,0,0,0,0,0,1,1,0
Pakistan,Asia,0,0,0,0,0,3,0,0,13,13,0
Palau,Asia North,0,0,0,0,0,0,0,0,1,1,1
Panama,Central America,1,0,0,1,1,4,7,43,29,72,26
Papua New Guinea,Pacific,0,1,0,1,2,12,2,10,82,92,2
Paraguay,SA South,1,0,0,1,2,9,11,61,72,133,20
Peru,SA Northwest,3,1,3,7,14,17,112,665,114,779,167
Philippines,Philippines,2,4,6,12,23,55,125,791,481,"1,272",186
Poland,Europe Central,0,0,0,0,1,1,0,0,11,11,6
Portugal,Europe North,1,0,0,1,1,1,7,39,21,60,24
Puerto Rico,Caribbean,1,0,0,1,1,1,5,27,11,38,8
Qatar,ME/AN,0,0,0,0,0,0,0,2,1,3,0
Republic of the Congo,Africa Central,0,0,1,1,1,0,4,25,7,32,3
Réunion,Africa South,0,0,0,0,0,1,0,0,4,4,5
Romania,Europe Central,0,0,0,0,0,1,0,0,15,15,3
Russia,Europe East,0,0,1,1,5,7,3,16,53,69,0
Rwanda,Africa Central,0,0,0,0,1,1,0,0,6,6,0
Saint Kitts and Nevis,Caribbean,0,0,0,0,0,0,0,0,1,1,1
Saint Lucia,Caribbean,0,0,0,0,0,0,0,0,2,2,2
Saint Vincent and the Grenadines,Caribbean,0,0,0,0,0,1,0,0,3,3,1
Samoa,Pacific,1,0,0,1,1,0,20,156,9,165,20
Saudi Arabia (estimate),ME/AN,0,0,0,0,0,0,0,0,10,10,0
Senegal,Africa West,0,0,0,0,0,0,0,0,2,2,0
Serbia,Europe Central,0,0,0,0,0,1,0,0,3,3,2
Sierra Leone,Africa West,0,1,0,1,1,2,9,66,24,90,15
Singapore,Asia,0,0,1,1,1,0,1,6,0,6,1
Sint Maarten,Caribbean,0,0,0,0,0,0,0,0,1,1,0
Slovakia,Europe Central,0,0,0,0,0,1,0,0,4,4,0
Slovenia,Europe Central,0,0,0,0,0,1,0,0,2,2,1
Solomon Islands,Pacific,0,0,0,0,0,0,0,0,5,5,0
South Africa,Africa South,2,0,1,3,4,10,17,112,81,193,76
South Korea,Asia North,1,0,1,2,3,5,12,60,40,100,18
Spain,Europe Central,1,0,1,2,3,1,15,95,41,136,56
Sri Lanka,Asia,0,0,0,0,0,1,0,0,5,5,3
Suriname,Caribbean,0,0,0,0,0,1,0,0,6,6,3
Sweden,Europe North,1,0,0,1,1,1,4,25,15,40,37
Switzerland,Europe Central,1,0,0,1,0,0,5,26,8,34,13
Syria (estimate),ME/AN,0,0,0,0,0,0,0,0,1,1,0
Taiwan,Asia,1,0,1,2,2,0,16,90,10,100,12
Tanzania,Africa Central,0,0,0,0,1,3,0,0,23,23,1
Thailand,Asia,0,1,0,1,1,2,4,21,21,42,9
Togo,Africa West,0,0,0,0,0,0,2,15,8,23,1
Tonga,Pacific,1,1,0,2,2,2,21,140,35,175,21
Trinidad and Tobago,Caribbean,0,0,0,0,1,0,1,5,5,10,1
Turkey,Europe Central,0,0,0,0,0,0,0,0,9,9,0
Turks and Caicos Islands,Caribbean,0,0,0,0,0,0,0,0,1,1,0
Tuvalu,Pacific,0,0,0,0,0,0,0,0,1,1,0
Uganda,Africa Central,0,0,0,0,1,3,3,18,20,38,8
Ukraine,Unassigned**,1,0,0,1,2,3,2,13,33,46,35
United Arab Emirates,ME/AN,0,0,1,1,0,0,1,5,1,6,0
United Kingdom,Europe North,2,0,1,3,6,0,44,275,42,317,124
United States,North America*,82,25,17,124,110,6,"1,681","12,806","1,808","14,614","1,864"
Uruguay,SA South,1,0,0,1,2,2,18,97,32,129,23
Vanuatu,Pacific,0,1,0,1,1,3,1,5,32,37,3
Venezuela,SA Northwest,1,0,0,1,4,6,33,177,58,235,48
Vietnam,Asia,0,0,0,0,1,2,0,0,11,11,2
United States Virgin Islands,Caribbean,0,0,0,0,0,0,0,0,2,2,0
Zambia,Africa South,0,0,0,0,1,2,1,6,10,16,2
Zimbabwe,Africa South,0,1,0,1,2,2,8,49,42,91,18
