Id, Title, Isbn, Year, CallNumber, CcbcCollection, Genres, NewEdition, NonUsPublisher, Publisher, OriginallyPublishedIn, Translated, TranslatedNotes, Subject, Subject Disability Notes, Subject Heritage/Region Notes, Subject Lgbtq Notes, Subject Religion Notes, Primary Character 1, PrimaryCharacterDisabilityNotes 1, PrimaryCharacterHeritageNotes 1, PrimaryCharacterSexualityNotes 1, PrimaryCharacterTypeNotes 1, PrimaryCharacterReligionNotes 1, PrimaryCharacterHeritageByNotes 1, PrimaryCharacterGenderNotes 1, Primary Character 2, PrimaryCharacterDisabilityNotes 2, PrimaryCharacterHeritageNotes 2, PrimaryCharacterSexualityNotes 2, PrimaryCharacterTypeNotes 2, PrimaryCharacterReligionNotes 2, PrimaryCharacterHeritageByNotes 2, PrimaryCharacterGenderNotes 2, Primary Character 3, PrimaryCharacterDisabilityNotes 3, PrimaryCharacterHeritageNotes 3, PrimaryCharacterSexualityNotes 3, PrimaryCharacterTypeNotes 3, PrimaryCharacterReligionNotes 3, PrimaryCharacterHeritageByNotes 3, PrimaryCharacterGenderNotes 3, Primary Character 4, PrimaryCharacterDisabilityNotes 4, PrimaryCharacterHeritageNotes 4, PrimaryCharacterSexualityNotes 4, PrimaryCharacterTypeNotes 4, PrimaryCharacterReligionNotes 4, PrimaryCharacterHeritageByNotes 4, PrimaryCharacterGenderNotes 4, Primary Character 5, PrimaryCharacterDisabilityNotes 5, PrimaryCharacterHeritageNotes 5, PrimaryCharacterSexualityNotes 5, PrimaryCharacterTypeNotes 5, PrimaryCharacterReligionNotes 5, PrimaryCharacterHeritageByNotes 5, PrimaryCharacterGenderNotes 5, Secondary Character 1, SecondaryCharacterDisabilityNotes 1, SecondaryCharacterHeritageNotes 1, SecondaryCharacterSexualityNotes 1, SecondaryCharacterTypeNotes 1, SecondaryCharacterReligionNotes 1, SecondaryCharacterHeritageByNotes 1, SecondaryCharacterGenderNotes 1, Secondary Character 2, SecondaryCharacterDisabilityNotes 2, SecondaryCharacterHeritageNotes 2, SecondaryCharacterSexualityNotes 2, SecondaryCharacterTypeNotes 2, SecondaryCharacterReligionNotes 2, SecondaryCharacterHeritageByNotes 2, SecondaryCharacterGenderNotes 2, Secondary Character 3, SecondaryCharacterDisabilityNotes 3, SecondaryCharacterHeritageNotes 3, SecondaryCharacterSexualityNotes 3, SecondaryCharacterTypeNotes 3, SecondaryCharacterReligionNotes 3, SecondaryCharacterHeritageByNotes 3, SecondaryCharacterGenderNotes 3, Secondary Character 4, SecondaryCharacterDisabilityNotes 4, SecondaryCharacterHeritageNotes 4, SecondaryCharacterSexualityNotes 4, SecondaryCharacterTypeNotes 4, SecondaryCharacterReligionNotes 4, SecondaryCharacterHeritageByNotes 4, SecondaryCharacterGenderNotes 4, Secondary Character 5, SecondaryCharacterDisabilityNotes 5, SecondaryCharacterHeritageNotes 5, SecondaryCharacterSexualityNotes 5, SecondaryCharacterTypeNotes 5, SecondaryCharacterReligionNotes 5, SecondaryCharacterHeritageByNotes 5, SecondaryCharacterGenderNotes 5, Contributors, ContributorTypes, Contributor Identity, ContributorDisabilityNotes, ContributorLgbtqNotes, ContributorSpecificCulture, GenderMarkerNotes, Gender Markers
"20287","Deep in Providence","9781250788528","2022","Neilson","Fiction","Fantasy","No","No","Henry Holt / Macmillan","","No","","Asian, Black/African, Christian, Latinx, LGBTQ Character/Topic, Psychiatric","Anxiety (primary 2)","Biracial (African American and white) (primary 1); Dominican American (primary 1); Filipino American (primary 3)","Queer cis girl (primary 3)","Catholic (primary 2)","Black/African, Female, Human, Multiracial, Other Heritage Specification, Text","","Natalie is biracial (African American and white).","","","","Kirkus","","Black/African, Christian, Female, Human, Latinx, Other Heritage Specification, Psychiatric, Text","Anxiety","Dominican American","","","Catholic","Kirkus","","Asian, Female, Human, LGBTQ+, Other Heritage Specification, Text","","Filipino American","Queer cis girl","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Riss M. Neilson","Author","Asian, Black/African, Female, Multiracial (Riss M. Neilson)","","","Filipino and Black American","",""
"20291","Boys of the Beast","9781643790954","2022","Zepeda","Fiction","Contemporary","No","No","Lee & Low / Tu","","No","","Christian, Jewish, Latinx, LGBTQ Character/Topic","","Biracial (Latinx and white) (primary 1); Latinx (primary 2 and 3)","Gay cis boy (primary 2)","Christian (primary 1); Jewish (primary 2)","Christian, Human, Latinx, Male, Multiracial, Other Heritage Specification, Text","","Matt is biracial (white and Latinx).","","","","Kirkus","","Human, Jewish, Latinx, LGBTQ+, Male, Other Heritage Specification, Text","","Ethan is Latinx.","Ethan is a gay cis boy.","","Ethan is Jewish.","Kirkus","","Human, Latinx, Male, Other Heritage Specification, Text","","Oscar is Latinx.","","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Monica Zepeda","Author","Female, Latinx (Monica Zepeda)","","","Mexican American","",""
"20340","Sing, Aretha, Sing! Aretha Franklin, ""Respect,"" and the Civil Rights Movement","9780374313456","2022","920 Franklin","Non-Fiction","Biography/History","No","No","Farrar Straus Giroux / Macmillan","","No","","Black/African, Christian","","African American (primary)","","Christian (primary)","Black/African, Christian, Female, Human, Text, Text","","African American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hanif Abdurraqib, Ashley Evans","Author, Illustrator","Black/African, Male, Muslim (Hanif Abdurraqib), Black/African, Female (Ashley Evans)","","","African American","",""
"20360","Milo and Marcos at the End of the World","9780063062566","2022","Snipes","Fiction","Contemporary","No","No","HarperCollins / HarperTeen","","No","","Christian, Latinx, LGBTQ Character/Topic","","Biracial (white and Cuban American) (secondary 1); Puerto Rican American (secondary 2)","Queer cis boy (primary, secondary 1)","Christian (primary, secondary 2)","Christian, Confirmed White, Human, LGBTQ+, Male, Other Heritage Specification, Text","","","Queer cis boy","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Human, Latinx, LGBTQ+, Male, Multiracial, Other Heritage Specification, Text","","Biracial (white and Cuban American)","Queer cis boy","","","Kirkus","","Christian, Female, Human, Latinx, Other Heritage Specification, Text","","Puerto Rican American","","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","Kevin Christopher Snipes","Author","Male, White (Kevin Christopher Snipes)","","","","",""
"20366","Fight + Flight","9780063053946","2022","Machias","Fiction","Contemporary","No","No","HarperCollins / Quill Tree","","No","","Christian, Gender Nonconformity, LGBTQ Character/Topic, Physical, Psychiatric","Hypermobile Ehlers-Danlos syndrome (primary 1 ); anxiety/panic attacks (primary 2)","","Pansexual cis girl (primary 1); queer cis girl (primary 2); primary 1 has two mothers, one of whom is trans","Catholic (primary 2)","Confirmed White, Female, Human, LGBTQ+, Other Heritage Specification, Physical, Text","Hypermobile Ehlers-Danlos syndrome","","Pansexual cis girl","","","Kirkus","","Christian, Confirmed White, Female, Human, LGBTQ+, Other Heritage Specification, Psychiatric, Text","Anxiety, panic attacks","","Queer cis girl","","Catholic","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jules Machias","Author","LGBTQ, Other Gender, Physical, Transgender, White (Jules Machias)","Hypermobile Ehlers-Danlos Syndrome","nonbinary, gender fluid","","",""
"20390","A Million Quiet Revolutions","9780374388416","2022","Gow","Fiction","Contemporary","No","No","Farrar Straus Giroux / Macmillan","","No","","Christian, Jewish, Latinx, LGBTQ Character/Topic","","Puerto Rican American (primary 2)","Queer, trans boy (primary 1 and 2)","Jewish (primary 1); Christian (primary 2)","Confirmed White, Human, Jewish, LGBTQ+, Male, Other Heritage Specification, Text, Transgender","","","Queer, trans boy","","","Kirkus","Oliver is a trans boy.","Christian, Human, Latinx, LGBTQ+, Male, Other Heritage Specification, Text, Transgender","","Puerto Rican American","Queer, trans boy","","","Kirkus","Aaron is a trans boy.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Robin Gow","Author","Cognitive/Neurological, LGBTQ, Transgender, White (Robin Gow)","Autistic (via his website)","Bisexual genderqueer man (via their author website); they/ze/he","","",""
"20445","Green Eyes and Ham","9780062696939","2022","Penney","Fiction","Contemporary","No","No","Harper / HarperCollins","","No","","Christian, LGBTQ Character/Topic","","","Questioning, possibly queer cis boy (primary)","Christian (primary)","Assumed White, Christian, Human, LGBTQ+, Male, Other Heritage Specification, Text","","","Ham is questioning, possibly queer. He's a cis boy.","","","Cover art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Human, Male, Other Heritage Specification, Text","","","","","","Cover art","","Female, Human, Text","","unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mary Penney","Author","Female, White (Mary Penney)","","","","",""
"20502","Why? A Conversation about Race","9781250806093","2022","Diggs","Picture Book","Contemporary","No","No","Feiwel and Friends / Macmillan","","No","","Black/African, Christian","","African American (primary group)","","Christian (primary)","Black/African, Christian, Female, Group, Human, Illustrations, Male, Text, Text","","African American","","","The children pray with hands together.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Taye Diggs, Shane W. Evans","Author, Illustrator","Black/African, Male (Taye Diggs), Black/African, Male (Shane W. Evans)","","","African American","",""
"20547","Arab Arab All Year Long!","9781536213959","2022","Camper","Picture Book","Contemporary","No","No","Candlewick","","No","","Arab, Christian, Muslim","","About Arabs from various countries/cultures (primary)","","Some are Muslim. One family is Christian.","Arab, Christian, Female, Group, Human, Illustrations, Male, Muslim, Text, Text","","","","","Some are Muslim. One family is Christian.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cathy Camper, Sawsan Chalabi","Author, Illustrator","Arab, Female (Cathy Camper), Arab, Asian, Female, Middle East (Sawsan Chalabi)","","","Arab American, Lebanese American","",""
"20612","The Lesbiana's Guide to Catholic School","9780063060234","2022","Reyes","Fiction","Contemporary","No","No","Balzer + Bray / HarperCollins","","No","","Asian, Christian, Latinx, LGBTQ Character/Topic","","Mexican American (primary and secondary 1); Chinese American (secondary 2)","Cis lesbian (primary and secondary 2); bisexual cis boy (secondary 1)","Primary character is Catholic and attends a Catholic school.","Christian, Female, Human, Latinx, LGBTQ+, Text, Text","","Mexican American","Cis lesbian","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, Human, Latinx, LGBTQ+, Male, Text, Text","","Mexican American","Cis gay boy","","Catholic","","","Asian, Female, Human, LGBTQ+, Text, Text","","Chinese American","Cis lesbian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sonora Reyes","Author","Cognitive/Neurological, Latinx, LGBTQ, Other Gender, Transgender (Sonora Reyes)","Autism spectrum disorder (via Twitter bio)","Queer, nonbinary, uses they/them","Mexican American","",""
"20628","Hope Is an Arrow: The Story of Lebanese American Poet Kahlil Gibran","9781536200324","2022","920 Gibran","Non-Fiction","Biography/History","No","No","Candlewick","","No","","Arab, Asian, Christian, Middle East","","Lebanese American (primary)","","Maronite (Christian sect of Syrian origin)","Arab, Asian, Christian, Human, Male, Middle East, Text, Text","","Lebanese American","","","Maronite (Christian sect of Syrian origin)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cory McCarthy, Ekua Holmes","Author, Illustrator","Arab, Asian, LGBTQ, Male, Middle East, Multiracial, Other Gender, Transgender (Cory McCarthy), Black/African, Female (Ekua Holmes)","","Demi, uses they/he pronouns","African American, Irish Lebanese American","",""
"20715","Gaudi: Architect of Imagination","9780735844872","2022","720 Katz","Non-Fiction","Biography/History","No","No","NorthSouth","","No","","Christian, Physical","As a child, Gaudi had ""an illness that made it hard for him to walk"" (text).","","","Christian (primary)","Christian, Confirmed White, Human, Male, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Susan Katz, Linda Schwalbe","Author, Illustrator","Female, Heritage Unknown (Susan Katz), Female, White (Linda Schwalbe)","","","","",""
"20792","Easter Morning, Easter Sun","9781772782332","2022","Battigelli","Picture Book","Animal Fantasy, Board Book","No","Yes","Pajama Press","","No","","Christian","","","","Easter book","Animal, Female, Illustrations, Male","","","","Family of cats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rosanna Battigelli, Tara Anderson","Author, Illustrator","Female, White (Rosanna Battigelli), Female, White (Tara Anderson)","","","","","Clothing, Color"
"20817","A Song for the Cosmos: Blind Willie Johnson and Voyager's Golden Record","9781568463629","2022","920 Johnson","Non-Fiction","Biography/History","No","No","Creative Company / Creative Editions","","No","","Black/African, Christian, Physical","Blind (primary)","African American (primary)","","Christian (primary)","Black/African, Christian, Human, Male, Physical, Text, Text","Blind","African American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jan Lower, Gary Kelley","Author, Illustrator","Female, White (Jan Lower), Male, White (Gary Kelley)","","","","",""
"20837","Bright","9781250822116","2022","Young","Fiction","Contemporary","No","No","Roaring Brook","","No","","Christian, Jewish","","","","Primary character comes from an interfaith (Jewish and Christian) family","Assumed White, Christian, Female, Human, Jewish, Other Heritage Specification, Text","","","","","She comes from an interfaith (Christian and Jewish) family.","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Brigit Young","Author","Female, White (Brigit Young)","","","","",""
