Id, Title, Isbn, Year, CallNumber, CcbcCollection, Genres, NewEdition, NonUsPublisher, Publisher, OriginallyPublishedIn, Translated, TranslatedNotes, Subject, Subject Disability Notes, Subject Heritage/Region Notes, Subject Lgbtq Notes, Subject Religion Notes, Primary Character 1, PrimaryCharacterDisabilityNotes 1, PrimaryCharacterHeritageNotes 1, PrimaryCharacterSexualityNotes 1, PrimaryCharacterTypeNotes 1, PrimaryCharacterReligionNotes 1, PrimaryCharacterHeritageByNotes 1, PrimaryCharacterGenderNotes 1, Primary Character 2, PrimaryCharacterDisabilityNotes 2, PrimaryCharacterHeritageNotes 2, PrimaryCharacterSexualityNotes 2, PrimaryCharacterTypeNotes 2, PrimaryCharacterReligionNotes 2, PrimaryCharacterHeritageByNotes 2, PrimaryCharacterGenderNotes 2, Primary Character 3, PrimaryCharacterDisabilityNotes 3, PrimaryCharacterHeritageNotes 3, PrimaryCharacterSexualityNotes 3, PrimaryCharacterTypeNotes 3, PrimaryCharacterReligionNotes 3, PrimaryCharacterHeritageByNotes 3, PrimaryCharacterGenderNotes 3, Primary Character 4, PrimaryCharacterDisabilityNotes 4, PrimaryCharacterHeritageNotes 4, PrimaryCharacterSexualityNotes 4, PrimaryCharacterTypeNotes 4, PrimaryCharacterReligionNotes 4, PrimaryCharacterHeritageByNotes 4, PrimaryCharacterGenderNotes 4, Primary Character 5, PrimaryCharacterDisabilityNotes 5, PrimaryCharacterHeritageNotes 5, PrimaryCharacterSexualityNotes 5, PrimaryCharacterTypeNotes 5, PrimaryCharacterReligionNotes 5, PrimaryCharacterHeritageByNotes 5, PrimaryCharacterGenderNotes 5, Secondary Character 1, SecondaryCharacterDisabilityNotes 1, SecondaryCharacterHeritageNotes 1, SecondaryCharacterSexualityNotes 1, SecondaryCharacterTypeNotes 1, SecondaryCharacterReligionNotes 1, SecondaryCharacterHeritageByNotes 1, SecondaryCharacterGenderNotes 1, Secondary Character 2, SecondaryCharacterDisabilityNotes 2, SecondaryCharacterHeritageNotes 2, SecondaryCharacterSexualityNotes 2, SecondaryCharacterTypeNotes 2, SecondaryCharacterReligionNotes 2, SecondaryCharacterHeritageByNotes 2, SecondaryCharacterGenderNotes 2, Secondary Character 3, SecondaryCharacterDisabilityNotes 3, SecondaryCharacterHeritageNotes 3, SecondaryCharacterSexualityNotes 3, SecondaryCharacterTypeNotes 3, SecondaryCharacterReligionNotes 3, SecondaryCharacterHeritageByNotes 3, SecondaryCharacterGenderNotes 3, Secondary Character 4, SecondaryCharacterDisabilityNotes 4, SecondaryCharacterHeritageNotes 4, SecondaryCharacterSexualityNotes 4, SecondaryCharacterTypeNotes 4, SecondaryCharacterReligionNotes 4, SecondaryCharacterHeritageByNotes 4, SecondaryCharacterGenderNotes 4, Secondary Character 5, SecondaryCharacterDisabilityNotes 5, SecondaryCharacterHeritageNotes 5, SecondaryCharacterSexualityNotes 5, SecondaryCharacterTypeNotes 5, SecondaryCharacterReligionNotes 5, SecondaryCharacterHeritageByNotes 5, SecondaryCharacterGenderNotes 5, Contributors, ContributorTypes, Contributor Identity, ContributorDisabilityNotes, ContributorLgbtqNotes, ContributorSpecificCulture, GenderMarkerNotes, Gender Markers
"31","A Sky Full of Stars","9780544800656","2018","Jackson","Fiction","Historical, Series Fiction","No","No","Houghton Mifflin Harcourt","","No","","Black/African, Christian","","","","","Black/African, Christian, Female, Human, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Christian, Female, Human, Male, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Linda Williams Jackson","Author","Black/African, Female (Linda Williams Jackson)","","","African American","",""
"75","The Night Before My First Communion","9781524786199","2018","Wing","Picture Book","Contemporary","No","No","Grosset & Dunlap / Penguin","","No","","Brown Skin Unspecified, Christian","","","","Catholic","Brown Skin, Christian, Female, Human, Male","","","","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Natasha Wing, Amy Wummer","Author, Illustrator","Female, White (Natasha Wing), Female, Heritage Unknown (Amy Wummer)","","","","The girl's closet is filled with pink items and a dress; the boy's closet is filled with blue items and a suit.","Clothing, Color"
"99","Martin Rising: Requiem for a King","9780545702539","2018","811 Pinkney","Non-Fiction","Biography/History, Poetry","No","No","Scholastic","","No","","Black/African, Christian","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Andrea Davis Pinkney, Brian Pinkney","Author, Illustrator","Black/African, Female (Andrea Davis Pinkney), Black/African, Male (Brian Pinkney)","","","African American","",""
"123","The Book of Boy","9780062686206","2018","Murdock","Fiction","Historical","No","No","Greenwillow / HarperCollins","","No","","Christian, Physical","Primary character is termed ""a hunchback.""","","","","Confirmed White, Human, Male, Physical","He is termed a ""hunchback.""","Presumed white as the book is set in medieval France.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, Human, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catherine Gilbert Murdock, Ian Schoenherr","Author, Illustrator","Female, White (Catherine Gilbert Murdock), Male, White (Ian Schoenherr)","","","","",""
"165","The Dangerous Art of Blending In","9780062659002","2018","Surmelis","Fiction","Contemporary","No","No","Balzer + Bray / HarperCollins","","No","","Christian, LGBTQ Character/Topic","","","Primary character is gay.","","Confirmed White, Human, LGBTQ+, Male, Text, Text","","","Gay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, Confirmed White, Female, Human","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Angelo Surmelis","Author","LGBTQ, Male, White (Angelo Surmelis)","","","Greek","",""
"234","Let the Children March","9780544704527","2018","Clark-Robinson","Picture Book","Historical","No","No","Houghton Mifflin Harcourt","","No","","Black/African, Christian","","","","","Black/African, Christian, Female, Human","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Christian, Human, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Frank Morrison, Monica Clark-Robinson","Author, Illustrator","Black/African, Male (Frank Morrison), Female, White (Monica Clark-Robinson)","","","African American","",""
"251","One True Way","9781338181722","2018","Hitchcock","Fiction","Historical","No","No","Scholastic","","No","","Christian, LGBTQ Character/Topic","","","Lesbian (primary)","","Confirmed White, Female, Human, LGBTQ+","","","Lesbian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed White, Female, Human, LGBTQ+","","","Lesbian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shannon Hitchcock","Author","Female, White (Shannon Hitchcock)","","","","",""
"335","Playing Atari with Saddam Hussein","9780544785076","2018","Roy","Fiction","Historical","No","No","Houghton Mifflin Harcourt","","No","","Arab, Asian, Christian, Middle East","","Iraqi/Kurdish; Iraq setting (Arab country in West Asia)","","","Asian, Christian, Human, Male, Middle East, Text","","Iraqi/Kurdish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jennifer Roy, Ali Fadhil","Author","Female, White (Jennifer Roy), Asian, Male, Middle East (Ali Fadhil)","","","Kurdish-Iraqi","",""
"379","Martin Luther King Jr.: A Peaceful Leader","9780062432766","2018","323 Albee","Non-Fiction","Biography/History","No","No","Harper","","No","","Black/African, Christian","","","","","Black/African, Christian, Human, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sarah Albee, Chin Ko","Author, Illustrator","Female, White (Sarah Albee), Asian, Male (Chin Ko)","","","Taiwanese","",""
"380","A Girl Named Rosa","9781338193077","2018","323 Patrick","Non-Fiction","Biography/History, Series Non-fiction","No","No","Scholastic","","No","","Black/African, Christian","","","","","Black/African, Female, Human, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Denise Lewis Patrick, Melissa Manwill","Author, Illustrator","Black/African, Female (Denise Lewis Patrick), Female, White (Melissa Manwill)","","","African American","",""
"457","The Poet X","9780062662804","2018","Acevedo","Fiction","Contemporary, Poetry","No","No","HarperTeen","","No","","Black/African, Christian, Latinx","","Dominican American","","Catholic","Black/African, Female, Human, Latinx","","Dominican American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Christian, Female, Human, Latinx, LGBTQ+, Male","","Dominican American; Trinidadian","Primary character's twin brother is gay.","","Primary character's mother is Catholic.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Elizabeth Acevedo","Author","Black/African, Latinx (Elizabeth Acevedo)","","","Dominican American","",""
"532","Love & Kindness Bible Stories","9781338185294","2018","220 Parker","Non-Fiction","Board Book","No","No","Scholastic","","No","","Christian, Middle East, Multicultural General","","Set in Middle East","","","Brown Skin, Christian, Confirmed White, Female, Group, Human, Illustrations, Illustrations, Male, Middle East, Text","","","","","","Bible stories signifies Middle Eastern setting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Amy Parker, Walter Carzon","Author, Illustrator","Female, White (Amy Parker), Male, White (Walter Carzon)","","","","All of the contemporary girls and many of the historical women have pink in their outfits.","Color"
"537","David and the Lost Lamb","9781524785901","2018","220 Bauers","Non-Fiction","Board Book","No","No","Grosset & Dunlap / Penguin","","No","","Christian, Middle East","","Bible story set in Middle East","","","Christian, Human, Illustrations, Male, Middle East, Other Heritage Specification, Text","","Bible story - probably set in Middle East","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","W. C. Bauers, Marta Costa","Author, Illustrator","Male, White (W. C. Bauers), Female, White (Marta Costa)","","","","",""
"614","Betty Before X","9780374306106","2018","Shabazz","Fiction","Historical","No","No","Farrar Straus Giroux","","No","","Black/African, Christian","","African American","","","Black/African, Christian, Female, Human, Text, Text","","African American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Christian, Female, Human, Text, Text","","African American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ilyasah Shabazz, Renee Watson","Author","Black/African, Female (Ilyasah Shabazz), Black/African, Female (Renee Watson)","","","African American","",""
"649","When the Crickets Stopped Singing","9781629797236","2018","Donahue","Fiction","Historical","No","No","Calkins Creek / Highlights","","No","","Christian","","","","","Christian, Confirmed White, Female, Human","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, Confirmed White, Female, Human","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marilyn Cram Donahue","Author","Female, White (Marilyn Cram Donahue)","","","","",""
"714","Shoemaker Martin","9780735843042","2018","Tolstoy","Picture Book","Fantasy, Historical","No","No","NorthSouth","","Yes","Translated from the German. Originally published in Switzerland.","Christian","","","","","Christian, Confirmed White, Human, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed White, Female, Human, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Leo Tolstoy, Bernadette Watts","Author, Illustrator","Male, White (Leo Tolstoy), Female, White (Bernadette Watts)","","","","",""
"765","Chasing King's Killer","9780545723336","2018","323 Swanson","Non-Fiction","Biography/History","No","No","Scholastic","","No","","Black/African, Christian","","","","","Confirmed White, Human, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Christian, Human, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","James L. Swanson","Author","Male, White (James L. Swanson)","","","","",""
"767","Who Is Aretha Franklin? (Who HQ)","9780451532411","2018","SNF","Non-Fiction","Biography/History, Series Non-fiction","No","No","Penguin Random House / Penguin Workshop","","No","","Black/African, Christian","","African American (primary)","","Christian (primary)","Black/African, Christian, Female, Human, Text","","African American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Gregory Copeland, Nico Medina","Author, Illustrator","Male, White (Gregory Copeland), Heritage Unknown, Male (Nico Medina)","","","","",""
"780","Tying the Knot: A World History of Marriage","9781467792424","2018","306 Keyser","Non-Fiction","","No","No","Lerner / Twenty-First Century","","No","","Christian, Jewish, LGBTQ Non-Fiction, Multicultural General, Muslim, Other Religion","","","Discusses marriage between LGBTQ people","Buddhist; Hindu","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Amber J. Keyser","Author","Female, White (Amber J. Keyser)","","","","",""
"868","Lizzie","9781481490764","2018","Ius","Fiction","Contemporary","No","No","Simon & Schuster / Simon Pulse","","No","","Christian, LGBTQ Character/Topic, Physical","Primary character has postural orthostatic tachycardia syndrom (POTS)","","Lesbian primary and secondary character","Catholic","Christian, Confirmed White, Female, Human, LGBTQ+, Physical","Postural orthostatic tachycardia syndrome (POTS)","","Lesbian","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed White, Female, Human, LGBTQ+","","","Lesbian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dawn Ius","Author","Female, White (Dawn Ius)","","","","",""
"928","Amor y bondad: Historias de la Biblia","9781338233452","2018","460 Amor","Non-Fiction","Board Book","Yes","No","Little Shepherd / Scholastic","2018","No","Spanish translation of the English edition","Christian, Multicultural General","","","","","Brown Skin, Christian, Confirmed White, Female, Human, Illustrations, Illustrations, Male, Middle East, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Amy Parker, Walter Carzon, Maria Dominguez","Author, Illustrator, Translator","Female, White (Amy Parker), Male, White (Walter Carzon), Heritage Unknown, Unknown (Maria Dominguez)","","","","All of the contemporary girls and many of the historical women have pink in their outfits.","Color"
"931","Snow Lane","9781250150929","2018","Angelini","Fiction","Historical","No","No","Feiwel and Friends / Macmillan","","No","","Christian, Cognitive/Neurological, Psychiatric","Dyslexia; hoarding disorder","","","Catholic","Christian, Cognitive/Neurological, Confirmed White, Female, Human","Dyslexia","","","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, Confirmed White, Female, Human, Psychiatric","Hoarding disorder","","","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Josie Angelini","Author","Female, White (Josie Angelini)","","","","",""
"1243","The Christmas Wind","9780889955349","2018","McLellan","Picture Book","Contemporary","No","Yes","Red Deer","","No","","Christian","","","","","Christian, Confirmed White, Female, Human, Illustrations, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, Confirmed White, Female, Human, Illustrations, Male, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stephanie Simpson McLellan, Brooke Kerrigan","Author, Illustrator","Female, White (Stephanie Simpson McLellan), Female, White (Brooke Kerrigan)","","","","Jo wears a dress.","Clothing"
"1466","Este es el dia! = This is the Day!","9781338050387","2018","Parker","Picture Book","Bilingual, Contemporary","Yes","No","Scholastic","","No","This is the bilingual (Spanish/English) edition.","Christian, Multicultural General","","","","","Asian, Assumed White, Brown Skin, Christian, Female, Group, Human, Illustrations, Illustrations, Male, Psychiatric","One child uses a wheelchair.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Amy Parker, Leeza Hernandez, Maria Dominguez","Author, Illustrator, Translator","Female, White (Amy Parker), Female, Heritage Unknown (Leeza Hernandez), Heritage Unknown, Unknown (Maria Dominguez)","","","","",""
"1577","Prayers for Young Children","9780802854933","2018","242 Steinkuler","Non-Fiction","Contemporary","No","No","Eerdmans","","Yes","Translated from the German. Originally published in Germany.","Christian, Middle East","","Illustrations are Biblical and assumed to be in the Middle East, although all humans in the illustrations have light skin.","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Martina Steinkuhler, Barbara Nascimbeni, Laura Watkinson","Author, Illustrator, Translator","Female, White (Martina Steinkuhler), Female, White (Barbara Nascimbeni), Female, White (Laura Watkinson)","","","Italian","",""
"1578","How Sweet the Sound: The Story of Amazing Grace","9781481472067","2018","264 Weatherford","Non-Fiction","Biography/History","No","No","Atheneum / Simon & Schuster","","No","","Black/African, Christian","","","","","Christian, Confirmed White, Human, Illustrations, Male, Other Heritage Specification, Text, Text","","","","","","Historical figure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Female, Human, Illustrations, Indigenous, Male, Other Heritage Specification, Text, Text","","African American; Cherokee","","","","Contemporary and historical figures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Frank Morrison, Carole Boston Weatherford","Author, Illustrator","Black/African, Male (Frank Morrison), Black/African, Female (Carole Boston Weatherford)","","","African American","",""
"1671","Takedown","9780553521412","2018","Shovan","Fiction","Contemporary","No","No","Random House / Wendy Lamb Books","","No","","Asian, Brown Skin Unspecified, Christian, Jewish","","Lev's best friend is Chinese. Mikayla's best friend is biracial.","","Lev is Jewish. Mikayla is Christian.","Christian, Confirmed White, Female, Human, Jewish, Male, Other Heritage Specification, Text","","","","","Lev is Jewish. Mikayla is Christian.","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Asian, Assumed White, Brown Skin, Female, Human, Male, Multiracial, Other Heritage Specification, Text, Text","","Bryan is Chinese. Kenna is biracial.","","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Laura Shovan","Author","Female, White (Laura Shovan)","","","","",""
"3521","That's Not What Happened","9781338186529","2018","Keplinger","Fiction","Contemporary","No","No","Scholastic / Scholastic Press","","No","","Black/African, Christian, Latinx, LGBTQ Character/Topic, Physical","One of the character is blind.","African American","One of the secondary character is a lesbian.","","Confirmed White, Female, Human, Other Heritage Specification, Text","","","","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Confirmed White, Female, Human, Latinx, LGBTQ+, Male, Other Heritage Specification, Physical, Text","Denny is blind.","Miles and Ashley are white. Denny is African American. Eden is Latinx.","Eden is a lesbian.","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kody Keplinger","Author","Female, LGBTQ, Physical, White (Kody Keplinger)","Legally blind","Gay","","",""
"3538","Martin Luther King Jr.","9781250302557","2018","323 Baron","Non-Fiction","Biography/History, Series Non-fiction","No","No","Roaring Brook","","Yes","Translated from the French. Originally published in France.","Black/African, Christian","","African American","","","Black/African, Christian, Human, Male, Other Heritage Specification, Text","","African American","","","","Real person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Clementine V. Baron, Catherine Nolan","Author, Translator","Female, White (Clementine V. Baron), Female, Heritage Unknown (Catherine Nolan)","","","","",""
"3691","Hannah's Two Homes","9781641334747","2018","Tegay","Picture Book","Contemporary","No","No","AuthorCentrix","","No","","Christian, Jewish","","","","Mom is Christian. Dad is Jewish.","Assumed White, Female, Human, Illustrations, Jewish, Text","","","","","Her dad is Jewish; they celebrate Hanukkah and Passover.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Christian, Female, Group, Human, Illustrations, Jewish, Male, Text","","","","","Mom is Christian. Dad is Jewish.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Melodie Tegay, Melodie Tegay","Author, Illustrator","Female, White (Melodie Tegay), Female, White (Melodie Tegay)","","","","",""
"3963","Best Family Ever (Baxter Family Children)","9781534412156","2019","Kingsbury","Fiction","Contemporary, Series Fiction","No","No","Paula Wiseman Books / Simon & Schuster","","No","","Christian","","","","","Christian, Confirmed White, Female, Group, Human, Male, Other Heritage Specification, Text","","A white family of five children and two parents.","","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Karen Kingsbury, Tyler Russell","Author","Female, White (Karen Kingsbury), Male, White (Tyler Russell)","","","","",""
"4099","What Is Given from the Heart","9780375836152","2019","McKissack","Picture Book","Contemporary","No","No","Random House / Schwartz & Wade","","No","","Black/African, Christian","","African American (primary and secondary)","","","Black/African, Christian, Human, Illustrations, Male, Text","","African American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Christian, Female, Human, Illustrations, Text","","African American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Patricia C. McKissack, April Harrison","Author, Illustrator","Black/African, Female (Patricia C. McKissack), Black/African, Female (April Harrison)","","","African American","",""
"4144","My Family Celebrates Christmas","9781541520073","2019","SNF","Non-Fiction","Series Non-fiction","No","No","Lerner","","No","","Christian","","","","","Assumed White, Christian, Human, Illustrations, Illustrations, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lisa Bullard, Katie Saunders","Author, Illustrator","Female, White (Lisa Bullard), Female, White (Katie Saunders)","","","","",""
"4218","The Beauty of the Moment","9780374308445","2019","Bhathena","Fiction","Contemporary","No","No","Farrar Straus Giroux","","No","","Asian, Christian, Other Religion","","Malayali (Indian) (primary); Indian Canadian (primary)","","Malcolm is Parsi (Zoroastrian).","Asian, Christian, Female, Human, Male, Other Heritage Specification, Text","","Susan is Malayali (Indian). Malcolm is Indian Canadian.","","","Susan is Christian. Malcolm is Parsi (Zoroastrian).","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tanaz Bhathena","Author","Asian, Female (Tanaz Bhathena)","","","Indian","",""
"4719","Hands Up!","9780525552314","2019","McDaniel","Picture Book","Contemporary","No","No","Dial / Penguin","","No","","Black/African, Christian","","African American (primary) ","","","Black/African, Christian, Female, Human, Illustrations, Text","","African American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shane W. Evans, Breanna J. McDaniel","Author, Illustrator","Black/African, Male (Shane W. Evans), Black/African, Female (Breanna J. McDaniel)","","","African American","","Eyelashes"
"4774","Bernice Buttman, Model Citizen","9781524770419","2019","Lenz","Fiction","Contemporary","No","No","Random House","","No","","Christian","","","","Catholic (secondary)","Confirmed White, Female, Human, Other Heritage Specification, Text","","","","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, Confirmed White, Female, Human, Other Heritage Specification","","Bernice's mother and aunt are White.","","Two","Aunt Bernice is a Catholic nun.","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Niki Lenz","Author","Female, White (Niki Lenz)","","","","",""
"4791","Voices: The Final Hours of Joan of Arc","9781328987594","2019","Elliott","Fiction","Historical","No","No","Houghton Mifflin Harcourt","","No","","Christian, Gender Nonconformity","","","","","Christian, Confirmed White, Female, Human, Other Heritage Specification, Text","","","","","","Historical person","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","David Elliott","Author","Male, White (David Elliott)","","","","",""
"5031","Kiss Number 8","9781250196934","2019","741.5 Venable","Non-Fiction","Contemporary, Graphic Novel","No","No","First Second / Roaring Brook","","No","","Christian, LGBTQ Character/Topic","","","Bisexual girl (primary); transgender male (secondary)","Catholic (primary)","Assumed White, Christian, Female, Human, Illustrations, LGBTQ+, Text","","","Mads is assumed bisexual.","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Christian, Female, Human, Illustrations, LGBTQ+, Male, Text, Transgender","","Laura, Adam, Cat, and Mads's family are white. ","It's implied that Laura is queer. Mads's late grandfather was transgender.","Seven","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Colleen AF Venable, Ellen T. Crenshaw","Author, Illustrator","Female, White (Colleen AF Venable), Female, White (Ellen T. Crenshaw)","","","","",""
"5230","Briar and Rose and Jack","9781328950055","2019","Coville","Fiction","Fantasy","No","No","Clarion / Houghton Mifflin Harcourt","","No","","Christian","","","","Kirkus notes a Christian setting.","Assumed White, Female, Human, Other Heritage Specification, Text","","","","Two","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Human, Male, Other Heritage Specification, Text","","","","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Katherine Coville","Author","Female, White (Katherine Coville)","","","","",""
"5234","When the Ground is Hard","9780525515579","2019","Nunn","Fiction","Historical","No","No","Penguin Random House / Putnam","","No","","Black/African, Christian, Cognitive/Neurological","Developmental disability, possibly Down syndrome (secondary)","Biracial (African/white) (primary and secondary)","","","Black/African, Christian, Confirmed White, Female, Human, Multiracial, Text, Text","","Biracial (African/White)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Cognitive/Neurological, Confirmed White, Female, Human, Male, Multiracial, Text, Text","Darnell has a developmental disability, possibly Down syndrome.","Lottie is biracial (White/Zulu); Darnell is biracial (White/African)","","Two","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Malla Nunn","Author","Black/African, Female, Multiracial (Malla Nunn)","","","Multiracial (possibly Swazi/white)","",""
"5276","Jesus Loves Me (Bible bb's)","9781338217490","2019","264 Jesus","Non-Fiction","","No","No","Little Shepherd / Scholastic","","No","","Christian, Middle East, Multicultural General","","Palestinian (primary)","","Christian story","Human, Male, Middle East, Other Heritage Specification, Text","","Jesus was Palestinian.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5366","Fast Enough: Bessie Stringfield's First Ride","9781549303142","2019","Gill","Picture Book","Biography/History, Historical","No","No","CubHouse / Lion Forge","","No","","Black/African, Christian","","African American (primary)","","","Black/African, Christian, Female, Human, Text, Text","","African American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Joel Christian Gill, Joel Christian Gill","Author, Illustrator","Black/African, Male (Joel Christian Gill), Black/African, Male (Joel Christian Gill)","","","African American","",""
